,age,job,marital,education,default,balance,housing,loan,day,month,campaign,pdays,previous,poutcome
0,53,9,1,1,0,4541,1,0,14,8,6,-1,0,3
1,55,9,1,2,0,1320,0,0,27,0,2,-1,0,3
2,39,1,2,1,0,0,0,0,21,5,4,-1,0,3
3,33,1,1,1,0,4996,1,0,17,8,9,363,2,0
4,39,9,0,1,0,1270,1,0,28,8,4,-1,0,3
5,30,2,1,1,0,2926,1,0,27,8,8,-1,0,3
6,54,0,1,1,0,956,1,1,10,8,2,362,1,1
7,30,9,2,2,0,3,1,0,17,9,1,195,1,0
8,38,8,2,3,0,722,0,0,17,6,1,-1,0,3
9,40,0,1,1,0,457,0,0,11,5,1,-1,0,3
10,49,1,2,0,0,2146,1,0,6,8,2,353,2,1
11,33,9,1,1,0,3071,1,1,20,5,1,-1,0,3
12,59,5,1,2,0,538,0,0,17,9,2,-1,0,3
13,49,7,1,1,1,-249,0,0,28,5,5,-1,0,3
14,59,1,1,0,0,0,0,1,13,5,10,-1,0,3
15,30,2,1,0,0,386,1,0,14,8,4,-1,0,3
16,55,1,1,1,0,1164,0,0,17,9,1,-1,0,3
17,59,5,0,0,0,217,1,0,25,8,3,-1,0,3
18,33,4,2,2,0,12686,1,0,4,8,2,166,2,0
19,31,4,2,2,0,949,1,0,27,5,7,-1,0,3
20,58,9,0,1,0,469,0,0,5,8,1,-1,0,3
21,29,10,2,1,0,486,0,0,29,0,1,-1,0,3
22,35,7,1,1,0,102,1,0,12,8,5,-1,0,3
23,34,4,0,2,0,2885,0,0,9,3,2,156,4,1
24,41,1,1,0,0,-252,1,0,28,8,5,-1,0,3
25,36,0,2,1,0,281,0,0,8,5,2,-1,0,3
26,41,2,1,2,0,3135,1,1,19,6,3,-1,0,3
27,61,0,1,3,0,4629,1,0,28,5,3,183,2,2
28,34,1,1,1,0,120,1,0,20,8,1,-1,0,3
29,30,4,2,2,0,147,0,0,8,11,1,100,1,0
30,52,9,2,2,0,1308,1,0,28,8,1,-1,0,3
31,39,4,1,2,0,3,1,0,6,8,1,170,1,0
32,35,9,1,1,0,463,1,0,6,1,4,-1,0,3
33,53,6,2,3,0,289,0,0,3,3,1,-1,0,3
34,35,0,2,1,0,163,1,0,11,6,1,-1,0,3
35,30,9,1,1,0,854,1,0,1,6,2,-1,0,3
36,35,10,1,0,0,4564,1,0,4,3,1,-1,0,3
37,39,9,1,1,0,214,1,0,26,8,11,-1,0,3
38,51,4,1,3,0,6482,1,0,18,8,2,-1,0,3
39,56,5,0,2,0,-458,1,0,14,8,4,296,3,0
40,31,9,2,2,0,699,1,0,14,8,4,277,4,0
41,44,4,1,1,0,238,0,0,18,1,3,-1,0,3
42,60,7,0,1,0,1608,1,0,10,8,1,-1,0,3
43,37,4,1,2,0,64,0,0,6,8,1,295,1,0
44,34,2,1,1,0,393,1,0,17,5,3,-1,0,3
45,62,1,1,1,0,272,0,0,10,1,1,286,2,0
46,52,4,0,2,0,96,0,0,18,1,1,-1,0,3
47,27,4,2,1,0,565,1,0,17,8,2,346,11,0
48,31,9,1,1,1,-367,1,0,17,5,2,-1,0,3
49,36,1,1,0,0,1244,1,0,1,6,1,-1,0,3
50,42,3,2,1,0,578,0,0,27,4,1,-1,0,3
51,36,1,2,0,0,736,1,0,15,0,2,304,2,0
52,35,2,1,0,0,0,0,1,20,9,10,-1,0,3
53,51,7,1,1,0,53,0,1,23,5,1,-1,0,3
54,43,4,1,2,0,489,1,0,7,8,1,172,2,1
55,58,0,1,0,0,1119,0,0,5,0,4,341,2,0
56,42,4,1,2,0,603,1,0,4,9,5,-1,0,3
57,47,1,1,0,1,0,0,0,4,6,2,-1,0,3
58,59,5,1,2,0,1637,0,1,17,5,7,-1,0,3
59,48,9,1,0,1,-530,0,1,18,9,1,-1,0,3
60,57,0,1,1,0,3944,0,0,20,9,2,-1,0,3
61,46,4,1,2,0,5464,0,0,19,6,4,-1,0,3
62,30,4,2,1,0,-62,0,1,29,5,17,-1,0,3
63,25,1,2,1,0,224,0,1,7,5,4,-1,0,3
64,37,9,1,1,0,54,1,1,21,5,2,-1,0,3
65,49,2,1,0,0,5380,1,0,3,6,4,-1,0,3
66,34,6,1,2,0,0,1,0,9,5,1,-1,0,3
67,37,1,1,1,0,236,0,0,24,5,6,-1,0,3
68,41,4,0,3,0,465,1,0,21,5,1,-1,0,3
69,41,1,1,0,0,219,0,1,17,6,3,-1,0,3
70,45,7,1,1,0,-158,1,0,28,5,1,-1,0,3
71,44,10,1,1,0,-407,1,0,8,8,2,-1,0,3
72,39,0,1,1,0,224,0,0,17,6,2,-1,0,3
73,27,8,2,2,0,5291,0,0,11,9,2,92,2,0
74,25,4,2,2,0,667,0,0,28,10,2,-1,0,3
75,34,9,2,1,0,1259,1,0,17,9,1,-1,0,3
76,31,4,2,2,0,0,1,1,13,8,3,352,3,0
77,56,4,0,2,0,4266,1,0,16,6,4,-1,0,3
78,46,4,1,1,0,1363,1,1,6,8,4,-1,0,3
79,53,0,1,1,0,350,0,1,16,9,3,132,2,0
80,44,10,1,2,0,178,0,0,7,1,2,-1,0,3
81,35,9,0,1,0,308,0,0,21,1,2,-1,0,3
82,48,2,1,0,0,386,0,1,26,1,5,-1,0,3
83,43,9,1,1,0,434,1,0,4,8,1,-1,0,3
84,36,4,1,2,0,-825,0,0,26,8,1,-1,0,3
85,42,4,1,1,0,1607,1,0,29,8,1,-1,0,3
86,30,9,1,1,0,9,0,0,20,1,2,-1,0,3
87,32,4,2,2,0,1966,0,0,17,1,3,-1,0,3
88,37,1,1,0,0,704,0,0,17,6,7,-1,0,3
89,39,1,1,1,0,0,0,0,15,6,1,-1,0,3
90,45,1,2,0,0,695,1,0,20,5,1,-1,0,3
91,30,9,2,1,0,1165,0,0,3,6,2,183,3,2
92,57,3,1,1,0,0,0,0,16,9,1,-1,0,3
93,77,5,1,0,0,1492,0,0,0,11,1,208,2,1
94,32,0,2,1,0,45,1,1,13,8,3,344,7,1
95,49,1,1,1,0,825,1,0,16,5,1,-1,0,3
96,47,2,1,2,0,1855,0,0,19,6,3,-1,0,3
97,38,7,1,0,0,0,1,0,16,9,2,-1,0,3
98,46,9,1,1,0,9299,0,0,18,5,1,276,2,1
99,58,5,1,1,0,2836,0,0,5,6,2,-1,0,3
100,31,4,1,2,0,1331,0,0,4,9,1,-1,0,3
